Current Angles: 0.680, 0.680; Goal: 1.303, 1.483;+0.017453292519943295 rad on alpha: 0.627, -0.017453292519943295 rad on alpha: 0.591, +0.017453292519943295 rad on beta: 0.627, -0.017453292519943295 rad on beta: 0.591; Robot choose: +0.017453292519943295 rad on alpha with Utility Value: 0.627; Distance: 0.355; Predicted Coordinates: (x=1.544, y=1.271)
Current Angles: 0.697, 0.680; Goal: 1.303, 1.483;+0.017453292519943295 rad on alpha: 0.646, -0.017453292519943295 rad on alpha: 0.609, +0.017453292519943295 rad on beta: 0.646, -0.017453292519943295 rad on beta: 0.609; Robot choose: +0.017453292519943295 rad on beta with Utility Value: 0.646; Distance: 0.338; Predicted Coordinates: (x=1.533, y=1.285)
Current Angles: 0.697, 0.697; Goal: 1.303, 1.483;+0.017453292519943295 rad on alpha: 0.664, -0.017453292519943295 rad on alpha: 0.627, +0.017453292519943295 rad on beta: 0.664, -0.017453292519943295 rad on beta: 0.627; Robot choose: +0.017453292519943295 rad on alpha with Utility Value: 0.664; Distance: 0.321; Predicted Coordinates: (x=1.522, y=1.298)
Current Angles: 0.715, 0.697; Goal: 1.303, 1.483;+0.017453292519943295 rad on alpha: 0.683, -0.017453292519943295 rad on alpha: 0.646, +0.017453292519943295 rad on beta: 0.683, -0.017453292519943295 rad on beta: 0.646; Robot choose: +0.017453292519943295 rad on beta with Utility Value: 0.683; Distance: 0.304; Predicted Coordinates: (x=1.510, y=1.311)
Current Angles: 0.715, 0.715; Goal: 1.303, 1.483;+0.017453292519943295 rad on alpha: 0.701, -0.017453292519943295 rad on alpha: 0.664, +0.017453292519943295 rad on beta: 0.701, -0.017453292519943295 rad on beta: 0.664; Robot choose: +0.017453292519943295 rad on alpha with Utility Value: 0.701; Distance: 0.287; Predicted Coordinates: (x=1.499, y=1.324)
Current Angles: 0.732, 0.715; Goal: 1.303, 1.483;+0.017453292519943295 rad on alpha: 0.720, -0.017453292519943295 rad on alpha: 0.683, +0.017453292519943295 rad on beta: 0.720, -0.017453292519943295 rad on beta: 0.683; Robot choose: +0.017453292519943295 rad on beta with Utility Value: 0.720; Distance: 0.269; Predicted Coordinates: (x=1.487, y=1.337)
Current Angles: 0.732, 0.732; Goal: 1.303, 1.483;+0.017453292519943295 rad on alpha: 0.738, -0.017453292519943295 rad on alpha: 0.701, +0.017453292519943295 rad on beta: 0.738, -0.017453292519943295 rad on beta: 0.701; Robot choose: +0.017453292519943295 rad on alpha with Utility Value: 0.738; Distance: 0.252; Predicted Coordinates: (x=1.475, y=1.350)
Current Angles: 0.750, 0.732; Goal: 1.303, 1.483;+0.017453292519943295 rad on alpha: 0.757, -0.017453292519943295 rad on alpha: 0.720, +0.017453292519943295 rad on beta: 0.757, -0.017453292519943295 rad on beta: 0.720; Robot choose: +0.017453292519943295 rad on beta with Utility Value: 0.757; Distance: 0.235; Predicted Coordinates: (x=1.464, y=1.363)
Current Angles: 0.750, 0.750; Goal: 1.303, 1.483;+0.017453292519943295 rad on alpha: 0.776, -0.017453292519943295 rad on alpha: 0.738, +0.017453292519943295 rad on beta: 0.776, -0.017453292519943295 rad on beta: 0.738; Robot choose: +0.017453292519943295 rad on alpha with Utility Value: 0.776; Distance: 0.218; Predicted Coordinates: (x=1.452, y=1.376)
Current Angles: 0.767, 0.750; Goal: 1.303, 1.483;+0.017453292519943295 rad on alpha: 0.795, -0.017453292519943295 rad on alpha: 0.757, +0.017453292519943295 rad on beta: 0.795, -0.017453292519943295 rad on beta: 0.757; Robot choose: +0.017453292519943295 rad on beta with Utility Value: 0.795; Distance: 0.200; Predicted Coordinates: (x=1.440, y=1.388)
Current Angles: 0.767, 0.767; Goal: 1.303, 1.483;+0.017453292519943295 rad on alpha: 0.814, -0.017453292519943295 rad on alpha: 0.776, +0.017453292519943295 rad on beta: 0.814, -0.017453292519943295 rad on beta: 0.776; Robot choose: +0.017453292519943295 rad on alpha with Utility Value: 0.814; Distance: 0.183; Predicted Coordinates: (x=1.427, y=1.401)
Current Angles: 0.785, 0.767; Goal: 1.303, 1.483;+0.017453292519943295 rad on alpha: 0.834, -0.017453292519943295 rad on alpha: 0.795, +0.017453292519943295 rad on beta: 0.834, -0.017453292519943295 rad on beta: 0.795; Robot choose: +0.017453292519943295 rad on beta with Utility Value: 0.834; Distance: 0.166; Predicted Coordinates: (x=1.415, y=1.413)
Current Angles: 0.785, 0.785; Goal: 1.303, 1.483;+0.017453292519943295 rad on alpha: 0.853, -0.017453292519943295 rad on alpha: 0.814, +0.017453292519943295 rad on beta: 0.853, -0.017453292519943295 rad on beta: 0.814; Robot choose: +0.017453292519943295 rad on alpha with Utility Value: 0.853; Distance: 0.149; Predicted Coordinates: (x=1.403, y=1.425)
Current Angles: 0.802, 0.785; Goal: 1.303, 1.483;+0.017453292519943295 rad on alpha: 0.873, -0.017453292519943295 rad on alpha: 0.834, +0.017453292519943295 rad on beta: 0.873, -0.017453292519943295 rad on beta: 0.834; Robot choose: +0.017453292519943295 rad on beta with Utility Value: 0.873; Distance: 0.132; Predicted Coordinates: (x=1.390, y=1.438)
Robot reached the goal in 13 steps!
Current Angles: 1.270, 1.270; Goal: 1.993, 0.160;+0.017453292519943295 rad on alpha: -0.476, -0.017453292519943295 rad on alpha: -0.461, +0.017453292519943295 rad on beta: -0.476, -0.017453292519943295 rad on beta: -0.461; Robot choose: -0.017453292519943295 rad on alpha with Utility Value: -0.461; Distance: 2.227; Predicted Coordinates: (x=0.609, y=1.905)
Current Angles: 1.253, 1.270; Goal: 1.993, 0.160;+0.017453292519943295 rad on alpha: -0.469, -0.017453292519943295 rad on alpha: -0.453, +0.017453292519943295 rad on beta: -0.469, -0.017453292519943295 rad on beta: -0.453; Robot choose: -0.017453292519943295 rad on alpha with Utility Value: -0.453; Distance: 2.213; Predicted Coordinates: (x=0.626, y=1.899)
Current Angles: 1.235, 1.270; Goal: 1.993, 0.160;+0.017453292519943295 rad on alpha: -0.461, -0.017453292519943295 rad on alpha: -0.446, +0.017453292519943295 rad on beta: -0.461, -0.017453292519943295 rad on beta: -0.446; Robot choose: -0.017453292519943295 rad on alpha with Utility Value: -0.446; Distance: 2.198; Predicted Coordinates: (x=0.642, y=1.893)
Current Angles: 1.218, 1.270; Goal: 1.993, 0.160;+0.017453292519943295 rad on alpha: -0.453, -0.017453292519943295 rad on alpha: -0.438, +0.017453292519943295 rad on beta: -0.453, -0.017453292519943295 rad on beta: -0.438; Robot choose: -0.017453292519943295 rad on alpha with Utility Value: -0.438; Distance: 2.183; Predicted Coordinates: (x=0.658, y=1.887)
Current Angles: 1.200, 1.270; Goal: 1.993, 0.160;+0.017453292519943295 rad on alpha: -0.446, -0.017453292519943295 rad on alpha: -0.430, +0.017453292519943295 rad on beta: -0.445, -0.017453292519943295 rad on beta: -0.430; Robot choose: -0.017453292519943295 rad on alpha with Utility Value: -0.430; Distance: 2.168; Predicted Coordinates: (x=0.675, y=1.881)
Current Angles: 1.183, 1.270; Goal: 1.993, 0.160;+0.017453292519943295 rad on alpha: -0.438, -0.017453292519943295 rad on alpha: -0.422, +0.017453292519943295 rad on beta: -0.437, -0.017453292519943295 rad on beta: -0.422; Robot choose: -0.017453292519943295 rad on alpha with Utility Value: -0.422; Distance: 2.153; Predicted Coordinates: (x=0.691, y=1.874)
Current Angles: 1.165, 1.270; Goal: 1.993, 0.160;+0.017453292519943295 rad on alpha: -0.430, -0.017453292519943295 rad on alpha: -0.414, +0.017453292519943295 rad on beta: -0.429, -0.017453292519943295 rad on beta: -0.414; Robot choose: -0.017453292519943295 rad on alpha with Utility Value: -0.414; Distance: 2.138; Predicted Coordinates: (x=0.707, y=1.867)
Current Angles: 1.148, 1.270; Goal: 1.993, 0.160;+0.017453292519943295 rad on alpha: -0.422, -0.017453292519943295 rad on alpha: -0.406, +0.017453292519943295 rad on beta: -0.421, -0.017453292519943295 rad on beta: -0.406; Robot choose: -0.017453292519943295 rad on alpha with Utility Value: -0.406; Distance: 2.123; Predicted Coordinates: (x=0.723, y=1.860)
Current Angles: 1.130, 1.270; Goal: 1.993, 0.160;+0.017453292519943295 rad on alpha: -0.414, -0.017453292519943295 rad on alpha: -0.397, +0.017453292519943295 rad on beta: -0.413, -0.017453292519943295 rad on beta: -0.398; Robot choose: -0.017453292519943295 rad on alpha with Utility Value: -0.397; Distance: 2.108; Predicted Coordinates: (x=0.738, y=1.852)
