index,act_pos,next_pos,changes
0.0,"(-0.00014934697323594633, -0.025693125954496267, 0.32983767086905885)","(0.09924179825899075, 0.05000326406696214, 0.2503555790090181)","[-0.9435498092541853, -0.8610866204051615, 1.437715102990268]"
0.1,"(0.09924179825899075, 0.05000326406696214, 0.2503555790090181)","(0.03087854072300896, 0.10696024621297733, 0.23750207288339087)","[-0.5713639146018663, -1.485628199371925, 0.8558630436039446]"
0.2,"(0.03087854072300896, 0.10696024621297733, 0.23750207288339087)","(0.09747741122521217, 0.1198694112321672, 0.20037612455721146)","[-0.8390861104444743, -1.3931443532277012, -0.15331141934692494]"
0.3,"(0.09747741122521217, 0.1198694112321672, 0.20037612455721146)","(0.095727149611369, 0.11222408429418623, 0.18070682210997455)","[-0.7304238496491597, -1.5321505959532373, -0.7668835422070608]"
0.4,"(0.095727149611369, 0.11222408429418623, 0.18070682210997455)","(-0.05240918630637495, -0.09287010708503027, 0.17166070491644253)","[0.1453628576402847, 1.5125783484669508, 1.2444269388843132]"
1.0,"(-0.0022780648895676615, -0.03758897924827056, 0.3267910253568636)","(0.050681488787085, 0.08519320765667929, 0.26940866136365305)","[-0.5799181542371804, -1.176995933682797, 0.9408418969362453]"
1.1,"(0.050681488787085, 0.08519320765667929, 0.26940866136365305)","(-0.06175948852911107, -0.061735029366235414, 0.2858010177975625)","[0.5707103045706805, 0.2813490618257803, -0.9825148137098971]"
1.2,"(-0.06175948852911107, -0.061735029366235414, 0.2858010177975625)","(0.1319598761444155, 0.10382646208296945, 0.20387335092865605)","[-1.0207597911172288, -1.1753783347801863, 0.10180308348115938]"
1.3,"(0.1319598761444155, 0.10382646208296945, 0.20387335092865605)","(0.14823698764212567, -0.06472440730920051, 0.24083616040879607)","[-0.9371588286390465, 0.26714464888892586, 0.27970372400257226]"
1.4,"(0.14823698764212567, -0.06472440730920051, 0.24083616040879607)","(-0.18164741243448762, -0.004159538995566111, 0.20069918619799945)","[1.2646571792806742, -0.23756483900463718, -0.7690797075247943]"
