index,current_pos,change_to_next,real_next_pos,pre_next_pos
0.0,"[-0.0010774366617964917, -0.02500923072087096, 0.32999603691853097]","[-0.9343282568917287, -0.18931191752795556, -1.5033642482271719]","[0.1611837955184395, -0.009006276234495321, 0.18061602165576945]","[0.16180563, -0.00602825, 0.17679888]"
0.1,"[0.1611837955184395, -0.009006276234495321, 0.18061602165576945]","[0.4159017880136074, -0.03144042745170887, -0.17778688734691606]","[-0.07926227262553846, -0.021015623271599126, 0.31406661533761154]","[-0.06755078, -0.020247579, 0.30358976]"
0.2,"[-0.07926227262553846, -0.021015623271599126, 0.31406661533761154]","[1.5209716824722748, 1.2552037934192335, -0.6686311811884454]","[-0.08667294769749656, -0.11836881560422996, 0.15393215551893102]","[-0.07855514, -0.10997915, 0.14082235]"
0.3,"[-0.08667294769749656, -0.11836881560422996, 0.15393215551893102]","[-0.7420339553919341, 0.6508296681943972, 0.48996144592896856]","[0.09883070010701617, -0.0948114399002234, 0.24955790933281177]","[0.09413169, -0.08495452, 0.25373486]"
0.4,"[0.09883070010701617, -0.0948114399002234, 0.24955790933281177]","[0.9741239341683329, -1.4230857817394134, 1.039646904062963]","[-0.11544339790208925, 0.10033795336049432, 0.15347196660305978]","[-0.103788406, 0.09514099, 0.15046853]"
1.0,"[0.0023503752000645214, -0.022639345644132162, 0.3304291662029226]","[1.4630346513745305, -0.015510280741316745, -0.2005791117085235]","[-0.20256495816707523, -0.020973493234125718, 0.14784645476041017]","[-0.1949043, -0.019128174, 0.15137833]"
1.1,"[-0.20256495816707523, -0.020973493234125718, 0.14784645476041017]","[-0.6727177175697363, 1.1075187924349672, -1.4603925223692904]","[0.09699829724315184, -0.08614701025580848, 0.1624557379064092]","[0.09358555, -0.09244742, 0.15369934]"
1.2,"[0.09699829724315184, -0.08614701025580848, 0.1624557379064092]","[-1.4049615820787258, -0.9112119602372525, 0.051194519934316174]","[0.1680094673143097, 0.09015266145108518, 0.14324930644368317]","[0.17713346, 0.07637051, 0.15277909]"
1.3,"[0.1680094673143097, 0.09015266145108518, 0.14324930644368317]","[-0.36045290304254946, -0.7171175642769592, 0.13876115298377895]","[0.0663071299637545, 0.07080567564275997, 0.29867790153399765]","[0.06627186, 0.06199813, 0.29244393]"
1.4,"[0.0663071299637545, 0.07080567564275997, 0.29867790153399765]","[0.805744779981122, -1.0066054430882723, -0.1618034633746395]","[-0.112216441498739, 0.09778189728090028, 0.24107144272813083]","[-0.10997991, 0.08761391, 0.23844156]"
