index,goal_position,current_pos,current_angles,current_distance,next_pos,change_to_next,next_angles,next_distance,next_utility,utility_of_changes
0.0,"[-0.18879698265140005, 0.0031380292656530816, 0.18638672100768028]","[-0.0010774366617964917, -0.02500923072087096, 0.32999603691853097]","[0.005611892798735418, -6.10134165413001e-12, -1.3322676295501878e-15]",,"[-0.01853742075135629, -0.025011958597377468, 0.32916048487582367]",+5.0° on alpha,"[0.08625950787731584, -1.2680523298058688e-11, -8.881784197001252e-16]",0.2239756412741349,0.21690421,"{'+5.0° on alpha': 0.21690421, '-5.0° on alpha': 0.13928993, '+5.0° on beta': 0.17453033, '-5.0° on beta': 0.18217255, '+5.0° on gamma': 0.18829015, '-5.0° on gamma': 0.16931832}"
0.1,"[-0.18879698265140005, 0.0031380292656530816, 0.18638672100768028]","[-0.01853742075135629, -0.025011958597377468, 0.32916048487582367]","[0.08625950787731584, -1.2680523298058688e-11, -8.881784197001252e-16]",0.2239756412741349,"[-0.035177008587134885, -0.025003348575858186, 0.32695476702689275]",+5.0° on alpha,"[0.16727306513584184, -1.5438761380437427e-11, -1.3322676295501878e-15]",0.21011998748330354,0.25028032,"{'+5.0° on alpha': 0.25028032, '-5.0° on alpha': 0.17599927, '+5.0° on beta': 0.20961735, '-5.0° on beta': 0.21735232, '+5.0° on gamma': 0.22304958, '-5.0° on gamma': 0.2050538}"
0.2,"[-0.18879698265140005, 0.0031380292656530816, 0.18638672100768028]","[-0.035177008587134885, -0.025003348575858186, 0.32695476702689275]","[0.16727306513584184, -1.5438761380437427e-11, -1.3322676295501878e-15]",0.21011998748330354,"[-0.051692412923304155, -0.025006130269066867, 0.32335774266540745]",+5.0° on alpha,"[0.2486498623761264, -1.958078144070896e-11, -1.3322676295501878e-15]",0.19583364759459404,0.28190547,"{'+5.0° on alpha': 0.28190547, '-5.0° on alpha': 0.2115277, '+5.0° on beta': 0.24345927, '-5.0° on beta': 0.2509658, '+5.0° on gamma': 0.25614056, '-5.0° on gamma': 0.23945364}"
0.3,"[-0.18879698265140005, 0.0031380292656530816, 0.18638672100768028]","[-0.051692412923304155, -0.025006130269066867, 0.32335774266540745]","[0.2486498623761264, -1.958078144070896e-11, -1.3322676295501878e-15]",0.19583364759459404,"[-0.06791684236244241, -0.024995591904465125, 0.31838426023650807]",+5.0° on alpha,"[0.33038721736011833, -2.326494552562508e-11, -1.3322676295501878e-15]",0.18118184047770275,0.32218805,"{'+5.0° on alpha': 0.32218805, '-5.0° on alpha': 0.24566245, '+5.0° on beta': 0.27549082, '-5.0° on beta': 0.28261065, '+5.0° on gamma': 0.2872066, '-5.0° on gamma': 0.2721344}"
0.4,"[-0.18879698265140005, 0.0031380292656530816, 0.18638672100768028]","[-0.06791684236244241, -0.024995591904465125, 0.31838426023650807]","[0.33038721736011833, -2.326494552562508e-11, -1.3322676295501878e-15]",0.18118184047770275,"[-0.0837235093832147, -0.02499421628057958, 0.3120531626950059]",+5.0° on alpha,"[0.41248246764788066, -2.708366864112577e-11, -1.7763568394002505e-15]",0.16620443011685215,0.36542737,"{'+5.0° on alpha': 0.36542737, '-5.0° on alpha': 0.2778363, '+5.0° on beta': 0.31669348, '-5.0° on beta': 0.3205269, '+5.0° on gamma': 0.32908824, '-5.0° on gamma': 0.3095891}"
0.5,"[-0.18879698265140005, 0.0031380292656530816, 0.18638672100768028]","[-0.0837235093832147, -0.02499421628057958, 0.3120531626950059]","[0.41248246764788066, -2.708366864112577e-11, -1.7763568394002505e-15]",0.16620443011685215,"[-0.0990014326326664, -0.02500475445837408, 0.3043923306987781]",+5.0° on alpha,"[0.49493297046975027, -3.08495451406543e-11, -1.7763568394002505e-15]",0.15093237226477288,0.4082731,"{'+5.0° on alpha': 0.4082731, '-5.0° on alpha': 0.3168068, '+5.0° on beta': 0.36008364, '-5.0° on beta': 0.36389965, '+5.0° on gamma': 0.37208983, '-5.0° on gamma': 0.35334313}"
0.6,"[-0.18879698265140005, 0.0031380292656530816, 0.18638672100768028]","[-0.0990014326326664, -0.02500475445837408, 0.3043923306987781]","[0.49493297046975027, -3.08495451406543e-11, -1.7763568394002505e-15]",0.15093237226477288,"[-0.11363245911709269, -0.025007514851473556, 0.2954442241889847]",+5.0° on alpha,"[0.5777361025594918, -3.458833219838198e-11, -1.7763568394002505e-15]",0.1354083315454732,0.45069885,"{'+5.0° on alpha': 0.45069885, '-5.0° on alpha': 0.36050326, '+5.0° on beta': 0.40313578, '-5.0° on beta': 0.40698737, '+5.0° on gamma': 0.4155092, '-5.0° on gamma': 0.3969401}"
0.7,"[-0.18879698265140005, 0.0031380292656530816, 0.18638672100768028]","[-0.11363245911709269, -0.025007514851473556, 0.2954442241889847]","[0.5777361025594918, -3.458833219838198e-11, -1.7763568394002505e-15]",0.1354083315454732,"[-0.12750105376814458, -0.025010215392558433, 0.28526416937288884]",+5.0° on alpha,"[0.6608892600333753, -3.834710327055291e-11, -2.220446049250313e-15]",0.1196923739016573,0.49340367,"{'+5.0° on alpha': 0.49340367, '-5.0° on alpha': 0.404006, '+5.0° on beta': 0.44572514, '-5.0° on beta': 0.44943017, '+5.0° on gamma': 0.45914242, '-5.0° on gamma': 0.43994847}"
0.8,"[-0.18879698265140005, 0.0031380292656530816, 0.18638672100768028]","[-0.12750105376814458, -0.025010215392558433, 0.28526416937288884]","[0.6608892600333753, -3.834710327055291e-11, -2.220446049250313e-15]",0.1196923739016573,"[-0.14049237994138994, -0.025002122173591736, 0.27391465351292565]",+5.0° on alpha,"[0.744389858222664, -4.2024606017321275e-11, -2.220446049250313e-15]",0.10385731430495561,0.536191,"{'+5.0° on alpha': 0.536191, '-5.0° on alpha': 0.44692856, '+5.0° on beta': 0.48873612, '-5.0° on beta': 0.49625182, '+5.0° on gamma': 0.5025449, '-5.0° on gamma': 0.48257792}"
0.9,"[-0.18879698265140005, 0.0031380292656530816, 0.18638672100768028]","[-0.14049237994138994, -0.025002122173591736, 0.27391465351292565]","[0.744389858222664, -4.2024606017321275e-11, -2.220446049250313e-15]",0.10385731430495561,"[-0.15250333022634585, -0.025002301710718544, 0.26147074044358504]",+5.0° on alpha,"[0.8282353315545512, -4.568523337411534e-11, -2.6645352591003757e-15]",0.0880154384665651,0.5831923,"{'+5.0° on alpha': 0.5831923, '-5.0° on alpha': 0.48997232, '+5.0° on beta': 0.5318198, '-5.0° on beta': 0.5489054, '+5.0° on gamma': 0.54575396, '-5.0° on gamma': 0.5240737}"
