Test 1:
Robot Position: [-74, 53]; Goal: [47, 32]; Distance: 122.809; +X: -11.237, -X: -11.433, +Y: -11.352, -Y: -11.319; Robot chose: +X with Utility Value: -11.237
Robot Position: [-73, 53]; Goal: [47, 32]; Distance: 121.824; +X: -11.140, -X: -11.335, +Y: -11.254, -Y: -11.221; Robot chose: +X with Utility Value: -11.140
Robot Position: [-72, 53]; Goal: [47, 32]; Distance: 120.839; +X: -11.042, -X: -11.237, +Y: -11.157, -Y: -11.123; Robot chose: +X with Utility Value: -11.042
Robot Position: [-71, 53]; Goal: [47, 32]; Distance: 119.854; +X: -10.944, -X: -11.140, +Y: -11.059, -Y: -11.025; Robot chose: +X with Utility Value: -10.944
Robot Position: [-70, 53]; Goal: [47, 32]; Distance: 118.870; +X: -10.847, -X: -11.042, +Y: -10.962, -Y: -10.928; Robot chose: +X with Utility Value: -10.847
Robot Position: [-69, 53]; Goal: [47, 32]; Distance: 117.886; +X: -10.749, -X: -10.944, +Y: -10.864, -Y: -10.830; Robot chose: +X with Utility Value: -10.749
Robot Position: [-68, 53]; Goal: [47, 32]; Distance: 116.902; +X: -10.652, -X: -10.847, +Y: -10.767, -Y: -10.732; Robot chose: +X with Utility Value: -10.652
Robot Position: [-67, 53]; Goal: [47, 32]; Distance: 115.918; +X: -10.554, -X: -10.749, +Y: -10.670, -Y: -10.634; Robot chose: +X with Utility Value: -10.554
Robot Position: [-66, 53]; Goal: [47, 32]; Distance: 114.935; +X: -10.457, -X: -10.652, +Y: -10.572, -Y: -10.537; Robot chose: +X with Utility Value: -10.457
Robot Position: [-65, 53]; Goal: [47, 32]; Distance: 113.952; +X: -10.359, -X: -10.554, +Y: -10.475, -Y: -10.439; Robot chose: +X with Utility Value: -10.359
Robot Position: [-64, 53]; Goal: [47, 32]; Distance: 112.969; +X: -10.262, -X: -10.457, +Y: -10.377, -Y: -10.341; Robot chose: +X with Utility Value: -10.262
Robot Position: [-63, 53]; Goal: [47, 32]; Distance: 111.987; +X: -10.164, -X: -10.359, +Y: -10.280, -Y: -10.244; Robot chose: +X with Utility Value: -10.164
Robot Position: [-62, 53]; Goal: [47, 32]; Distance: 111.005; +X: -10.067, -X: -10.262, +Y: -10.183, -Y: -10.146; Robot chose: +X with Utility Value: -10.067
Robot Position: [-61, 53]; Goal: [47, 32]; Distance: 110.023; +X: -9.969, -X: -10.164, +Y: -10.086, -Y: -10.049; Robot chose: +X with Utility Value: -9.969
Robot Position: [-60, 53]; Goal: [47, 32]; Distance: 109.041; +X: -9.872, -X: -10.067, +Y: -9.989, -Y: -9.951; Robot chose: +X with Utility Value: -9.872
Robot Position: [-59, 53]; Goal: [47, 32]; Distance: 108.060; +X: -9.775, -X: -9.969, +Y: -9.891, -Y: -9.854; Robot chose: +X with Utility Value: -9.775
Robot Position: [-58, 53]; Goal: [47, 32]; Distance: 107.079; +X: -9.678, -X: -9.872, +Y: -9.794, -Y: -9.756; Robot chose: +X with Utility Value: -9.678
Robot Position: [-57, 53]; Goal: [47, 32]; Distance: 106.099; +X: -9.580, -X: -9.775, +Y: -9.697, -Y: -9.659; Robot chose: +X with Utility Value: -9.580
Robot Position: [-56, 53]; Goal: [47, 32]; Distance: 105.119; +X: -9.483, -X: -9.678, +Y: -9.600, -Y: -9.561; Robot chose: +X with Utility Value: -9.483
Robot Position: [-55, 53]; Goal: [47, 32]; Distance: 104.139; +X: -9.386, -X: -9.580, +Y: -9.503, -Y: -9.464; Robot chose: +X with Utility Value: -9.386
Robot Position: [-54, 53]; Goal: [47, 32]; Distance: 103.160; +X: -9.289, -X: -9.483, +Y: -9.406, -Y: -9.367; Robot chose: +X with Utility Value: -9.289
Robot Position: [-53, 53]; Goal: [47, 32]; Distance: 102.181; +X: -9.192, -X: -9.386, +Y: -9.309, -Y: -9.269; Robot chose: +X with Utility Value: -9.192
Robot Position: [-52, 53]; Goal: [47, 32]; Distance: 101.203; +X: -9.095, -X: -9.289, +Y: -9.212, -Y: -9.172; Robot chose: +X with Utility Value: -9.095
Robot Position: [-51, 53]; Goal: [47, 32]; Distance: 100.225; +X: -8.998, -X: -9.192, +Y: -9.116, -Y: -9.075; Robot chose: +X with Utility Value: -8.998
Robot Position: [-50, 53]; Goal: [47, 32]; Distance: 99.247; +X: -8.901, -X: -9.095, +Y: -9.019, -Y: -8.978; Robot chose: +X with Utility Value: -8.901
Robot Position: [-49, 53]; Goal: [47, 32]; Distance: 98.270; +X: -8.804, -X: -8.998, +Y: -8.922, -Y: -8.881; Robot chose: +X with Utility Value: -8.804
Robot Position: [-48, 53]; Goal: [47, 32]; Distance: 97.293; +X: -8.707, -X: -8.901, +Y: -8.825, -Y: -8.783; Robot chose: +X with Utility Value: -8.707
Robot Position: [-47, 53]; Goal: [47, 32]; Distance: 96.317; +X: -8.610, -X: -8.804, +Y: -8.729, -Y: -8.686; Robot chose: +X with Utility Value: -8.610
Robot Position: [-46, 53]; Goal: [47, 32]; Distance: 95.341; +X: -8.513, -X: -8.707, +Y: -8.632, -Y: -8.589; Robot chose: +X with Utility Value: -8.513
Robot Position: [-45, 53]; Goal: [47, 32]; Distance: 94.366; +X: -8.417, -X: -8.610, +Y: -8.536, -Y: -8.492; Robot chose: +X with Utility Value: -8.417
Robot Position: [-44, 53]; Goal: [47, 32]; Distance: 93.392; +X: -8.320, -X: -8.513, +Y: -8.439, -Y: -8.395; Robot chose: +X with Utility Value: -8.320
