Step Index,Previous Position,New Position,Distance,Unit Vector,Norm_Distance,UV
1_128,"(-8.711989604089528, 2.498122819751452, 4.2261826174069945)","(-8.75426098065591, 2.345697160098117, 4.2261826174069945)",1.4221617884400686,"(-0.19080899537654877, -0.9816271834476631, 0.0)",0.10056202445503606,0.1
1_129,"(-8.75426098065591, 2.345697160098117, 4.2261826174069945)","(-8.793865724523155, 2.1925569783665373, 4.2261826174069945)",1.2644167070104415,"(-0.182235525492152, -0.9832549075639538, 0.0)",0.08940776277726473,0.2
1_130,"(-8.793865724523155, 2.1925569783665373, 4.2261826174069945)","(-8.83079177170262, 2.038748922539571, 4.2261826174069945)",1.106575335353187,"(-0.1736481776669347, -0.9848077530122072, 0.0)",0.07824669235220165,0.3
1_131,"(-8.83079177170262, 2.038748922539571, 4.2261826174069945)","(-8.865027874162623, 1.8843198440409947, 4.2261826174069945)",0.9486496936998651,"(-0.16504760586068246, -0.9862856015372307, 0.0)",0.06707966313857158,0.4
1_132,"(-8.865027874162623, 1.8843198440409947, 4.2261826174069945)","(-8.896563603254704, 1.7293167834641072, 4.2261826174069945)",0.7906518086995211,"(-0.1564344650402349, -0.9876883405951371, 0.0)",0.05590752554888403,0.5
1_133,"(-8.896563603254704, 1.7293167834641072, 4.2261826174069945)","(-8.925389352890285, 1.5737869562427091, 4.2261826174069945)",0.6325937125028115,"(-0.14780941112961557, -0.989015863361916, 0.0)",0.04473113038467113,0.6
1_134,"(-8.925389352890285, 1.5737869562427091, 4.2261826174069945)","(-8.951496342466788, 1.4177777382688226, 4.2261826174069945)",0.4744874418457092,"(-0.13917310096007265, -0.9902680687415694, 0.0)",0.03355132877169586,0.7
1_135,"(-8.951496342466788, 1.4177777382688226, 4.2261826174069945)","(-8.974876619542284, 1.261336651461538, 4.2261826174069945)",0.3163450371328571,"(-0.13052619222005982, -0.9914448613738093, 0.0)",0.022368972095135345,0.8
1_136,"(-8.974876619542284, 1.261336651461538, 4.2261826174069945)","(-8.995523062257886, 1.104511349291376, 4.2261826174069945)",0.15817854152064773,"(-0.12033136751923736, -0.9927337820337082, 0.0)",0.011184911934744787,0.9
1_137,"(-8.995523062257886, 1.104511349291376, 4.2261826174069945)","(-8.995523062257886, 1.104511349291376, 4.2261826174069945)",8.857325613537623e-14,"(-0.12033136751923736, -0.9927337820337082, 0.0)",6.263075004509751e-15,1.0
2_17,"(-0.05459484096828968, 1.5633916939084616, 9.876883405951379)","(-0.027301578646810525, 1.564106393134979, 9.876883405951379)",0.32703708465505527,"(0.9969173337331279, -0.07845909572784594, 0.0)",0.023125014025906856,0.1
2_18,"(-0.027301578646810525, 1.564106393134979, 9.876883405951379)","(7.904970631742573e-16, 1.5643446504023086, 9.876883405951379)",0.2998715804375914,"(0.9961946980917454, -0.08715574274765894, 0.0)",0.02120412280125481,0.2
2_19,"(7.904970631742573e-16, 1.5643446504023086, 9.876883405951379)","(0.027301578646812107, 1.564106393134979, 9.876883405951379)",0.2726832398382771,"(0.9953961983671786, -0.0958457525202253, 0.0)",0.019281616800556345,0.3
2_20,"(0.027301578646812107, 1.564106393134979, 9.876883405951379)","(0.05459484096829127, 1.5633916939084616, 9.876883405951379)",0.24547413335451304,"(0.9945218953682732, -0.10452846326765516, 0.0)",0.017357642430086702,0.4
2_21,"(0.05459484096829127, 1.5633916939084616, 9.876883405951379)","(0.08187147317233939, 1.562200770427064, 9.876883405951379)",0.2182463330651023,"(0.9935718556765873, -0.11320321376790782, 0.0)",0.015432346207943166,0.5
2_22,"(0.08187147317233939, 1.562200770427064, 9.876883405951379)","(0.10912316653255245, 1.5605339854576157, 9.876883405951379)",0.1910019124724536,"(0.9925461516413219, -0.12186934340514825, 0.0)",0.013505874752887134,0.6
2_23,"(0.10912316653255245, 1.5605339854576157, 9.876883405951379)","(0.13634161991913984, 1.5583918467189648, 9.876883405951379)",0.16374294634467618,"(0.9914448613738105, -0.13052619222005166, 0.0)",0.011578374773178553,0.7
2_24,"(0.13634161991913984, 1.5583918467189648, 9.876883405951379)","(0.16351854232752894, 1.5557750067273228, 9.876883405951379)",0.13647151055757795,"(0.9902680687415701, -0.13917310096006716, 0.0)",0.009649993055403488,0.8
2_25,"(0.16351854232752894, 1.5557750067273228, 9.876883405951379)","(0.1906456554038854, 1.5526842625975006, 9.876883405951379)",0.10918968193657991,"(0.9890158633619165, -0.1478094111296124, 0.0)",0.007720876453295793,0.9
2_26,"(0.1906456554038854, 1.5526842625975006, 9.876883405951379)","(0.1906456554038854, 1.5526842625975006, 9.876883405951379)",0.08189953809855731,"(0.9890158633619165, -0.1478094111296124, 0.0)",0.005791171876553587,1.0
3_35,"(0.9859436990808075, 8.029867043792832, 5.877852522924732)","(1.1259340383655327, 8.01143696598789, 5.877852522924732)",1.2694948361423475,"(0.9781476007338057, -0.2079116908177592, 0.0)",0.08976684073175589,0.1
3_36,"(1.1259340383655327, 8.01143696598789, 5.877852522924732)","(1.2655814072350042, 7.990566526874577, 5.877852522924732)",1.1286834545333433,"(0.9762960071199333, -0.21643961393810307, 0.0)",0.07980997245135853,0.2
