index,goal_pos,current_pos,current_distance,current_norm_distance,current_unit_vector,action_to_next,pred_norm_distance,pred_unit_vector,next_norm_distance,next_unit_vector,next_position,real_error_norm_distance
0.0,"[-0.09862994446317042, -0.11962475890295929, 0.20277509563593105]","[7.281348590787276e-05, -0.026555895469026293, 0.3296713770941851]",0.18575982885320186,0.4378401155138384,"(-0.531346086, -0.501017168, -0.683120146)","[1.487893187325166, 1.1508701087650608, 0]",0.2595396,"[-0.13399652, -0.026778914, 0.4365319]",0.1767121940611434,"(0.052229066, 0.078383679, 0.995554179)","[-0.10254569513559796, -0.12550138981070902, 0.1281357760970443]",0.0828274101258683
0.1,"[-0.09862994446317042, -0.11962475890295929, 0.20277509563593105]","[-0.10254569513559796, -0.12550138981070902, 0.1281357760970443]",0.0749726344433926,0.1767121940611434,"(0.052229066, 0.078383679, 0.995554179)","[0.5810201079889122, 0.7681194038027044, 0]",0.15683201,"[0.28311038, -0.2610379, -0.47019756]",0.11153763751971552,"(-0.272325228, -0.253369967, -0.928247074)","[-0.08574313015556624, -0.10763493430728852, 0.24670105775621565]",0.045294372034193786
0.2,"[-0.09862994446317042, -0.11962475890295929, 0.20277509563593105]","[-0.08574313015556624, -0.10763493430728852, 0.24670105775621565]",0.04732141190863076,0.11153763751971552,"(-0.272325228, -0.253369967, -0.928247074)","[0.32864549815053223, 1.1112511347447895, 0]",0.15708405,"[-0.6211851, 0.020131655, -0.46272087]",0.15491661473364043,"(-0.927695538, 0.080643474, -0.364523824)","[-0.03765664192312207, -0.12492509582124361, 0.2267336256327405]",0.002167433060701607
0.3,"[-0.09862994446317042, -0.11962475890295929, 0.20277509563593105]","[-0.03765664192312207, -0.12492509582124361, 0.2267336256327405]",0.06572555327797258,0.15491661473364043,"(-0.927695538, 0.080643474, -0.364523824)","[0.268082573106329, 1.470614427730422, 0]",0.28481445,"[-0.80424935, 0.13842115, 0.09128675]",0.1954787643715243,"(-0.972640865, 0.089924792, 0.214203827)","[-0.017964347899655876, -0.12708263696619693, 0.18501018349189233]",0.08933568279301121
0.4,"[-0.09862994446317042, -0.11962475890295929, 0.20277509563593105]","[-0.017964347899655876, -0.12708263696619693, 0.18501018349189233]",0.08293461591904328,0.1954787643715243,"(-0.972640865, 0.089924792, 0.214203827)","[0.5469861875750229, 0.8199556825869361, 0]",0.16289519,"[-0.27068508, -0.062252216, -0.5656223]",0.11366228448008761,"(-0.421170334, -0.183428913, -0.888239485)","[-0.07831992185954574, -0.11077929882922782, 0.24560851135667533]",0.049232903255469945
1.0,"[-0.053735272598200864, -0.12745037971188222, 0.16368217259641132]","[-0.07782908159449753, -0.1117429584077783, 0.2439276824294041]",0.08524421718997474,0.20092254677323335,"(0.282644498, -0.184263776, -0.941360159)","[0.952600705738505, 0.9440485924037328, 0]",0.19881159,"[0.602697, -0.041464053, -0.65267265]",0.14718104174954277,"(0.851701384, -0.144832978, -0.503615092)","[-0.106918596653579, -0.11840648316550932, 0.1951297258679404]",0.05163054892199653
1.1,"[-0.053735272598200864, -0.12745037971188222, 0.16368217259641132]","[-0.106918596653579, -0.11840648316550932, 0.1951297258679404]",0.06244362760992123,0.14718104174954277,"(0.851701384, -0.144832978, -0.503615092)","[1.4231414720761761, 0.28623399732707006, 0]",0.3845379,"[1.0313878, -0.4168868, 0.11514041]",0.35685254509223335,"(0.893541383, -0.431309814, 0.124722256)","[-0.1890171812500301, -0.06215019771716109, 0.14479925883928063]",0.027685360362402267
1.2,"[-0.053735272598200864, -0.12745037971188222, 0.16368217259641132]","[-0.1890171812500301, -0.06215019771716109, 0.14479925883928063]",0.15139971271103786,0.35685254509223335,"(0.893541383, -0.431309814, 0.124722256)","[0.11850785621041497, 0.6391395720803235, 0]",0.2103002,"[-0.0020555854, -0.26572794, -0.6195604]",0.3085245412484512,"(-0.265396898, -0.227271241, -0.936969727)","[-0.018995912848150054, -0.09770151130615796, 0.2863276469205687]",0.09822433411038967
1.3,"[-0.053735272598200864, -0.12745037971188222, 0.16368217259641132]","[-0.018995912848150054, -0.09770151130615796, 0.2863276469205687]",0.1308958771675491,0.3085245412484512,"(-0.265396898, -0.227271241, -0.936969727)","[0.38414696836395185, 0.7757988525114796, 0]",0.36787775,"[-0.3573001, -0.049699567, -0.84764355]",0.23710779566743925,"(0.02140809, -0.192224484, -0.981117445)","[-0.05588884765125107, -0.10811330440393668, 0.2623789752343626]",0.13076995592138216
1.4,"[-0.053735272598200864, -0.12745037971188222, 0.16368217259641132]","[-0.05588884765125107, -0.10811330440393668, 0.2623789752343626]",0.10059631811318435,0.23710779566743925,"(0.02140809, -0.192224484, -0.981117445)","[1.0128145649323093, 0.5143485305627289, 0]",0.24862885,"[0.62322223, -0.2691141, -0.5518432]",0.272632309443465,"(0.82290897, -0.359219775, -0.440206748)","[-0.1489195837263777, -0.08590011344662822, 0.21460004760889423]",0.02400345469187809
2.0,"[-0.18821686140655877, -0.06137188560246837, 0.15513286030797221]","[-0.1508576445831986, -0.08546723097954938, 0.21215122935657038]",0.07230069957792797,0.1704143831869474,"(-0.516719991, 0.333265729, -0.788628179)","[1.2150982252384523, 1.3936454077174723, 0]",0.29016885,"[-0.82174855, 0.42719048, -0.025197793]",0.3239871488671661,"(-0.873721308, 0.483665077, 0.051760687)","[-0.06811853267740316, -0.12785460373668722, 0.1480180377843089]",0.033818297253167706
2.1,"[-0.18821686140655877, -0.06137188560246837, 0.15513286030797221]","[-0.06811853267740316, -0.12785460373668722, 0.1480180377843089]",0.13745610598876118,0.3239871488671661,"(-0.873721308, 0.483665077, 0.051760687)","[1.4405947645961195, 0.2188642882000889, 0]",0.2444966,"[0.060378373, 0.2534962, 0.43913454]",0.03710586027532097,"(0.378657871, -0.583779047, 0.718206266)","[-0.1941779523261531, -0.05218163697380144, 0.14382636654507155]",0.20739073856443885
2.2,"[-0.18821686140655877, -0.06137188560246837, 0.15513286030797221]","[-0.1941779523261531, -0.05218163697380144, 0.14382636654507155]",0.015742683253463997,0.03710586027532097,"(0.378657871, -0.583779047, 0.718206266)","[0.8316493885752979, 0.8557349322528196, 0]",0.18604198,"[-0.5252642, 0.49266738, -0.41537526]",0.2696429753258099,"(-0.7118271, 0.443544049, -0.544583195)","[-0.10678396518178795, -0.11211324757483081, 0.21743308296644553]",0.0836009943439831
2.3,"[-0.18821686140655877, -0.06137188560246837, 0.15513286030797221]","[-0.10678396518178795, -0.11211324757483081, 0.21743308296644553]",0.11439982581131825,0.2696429753258099,"(-0.7118271, 0.443544049, -0.544583195)","[0.24207716725161352, 0.6218608124855796, 0]",0.47911847,"[-0.7997288, 0.28902432, -0.65975016]",0.4671774585295328,"(-0.735998657, 0.169359703, -0.655456533)","[-0.0423370630245357, -0.09494009816071292, 0.2850486773824347]",0.011941007847725504
2.4,"[-0.18821686140655877, -0.06137188560246837, 0.15513286030797221]","[-0.0423370630245357, -0.09494009816071292, 0.2850486773824347]",0.19820660936623782,0.4671774585295328,"(-0.735998657, 0.169359703, -0.655456533)","[0.2642428487519415, 1.1842058974781526, 0]",0.60723484,"[-0.856582, 0.5476432, -0.25970215]",0.4396580284138688,"(-0.859204972, 0.346945115, -0.376026465)","[-0.027948409355860977, -0.126087940898923, 0.22527349200542743]",0.16757680721082602
3.0,"[-0.100203039866615, -0.049215260487173944, 0.2953312615195449]","[-0.02817533327767417, -0.12603336021041267, 0.22521487176149524]",0.12651213014669674,0.29819195043028107,"(-0.569334391, 0.607199481, 0.554226616)","[0.5290092962794812, 0.8862781941627206, 0]",0.3190276,"[-0.42604798, 0.57612383, 0.26304722]",0.2098089609465923,"(-0.336490165, 0.73287852, 0.591323468)","[-0.07025056857049425, -0.11445200474614617, 0.24269495581167366]",0.10921864172598461
3.1,"[-0.100203039866615, -0.049215260487173944, 0.2953312615195449]","[-0.07025056857049425, -0.11445200474614617, 0.24269495581167366]",0.08901440342342336,0.2098089609465923,"(-0.336490165, 0.73287852, 0.591323468)","[1.165356341556614, 0.5040510879759623, 0]",0.30566695,"[0.31648245, 0.4710793, 0.5106598]",0.294766107225825,"(0.499314891, 0.271170902, 0.822891841)","[-0.16264669506264287, -0.08312753224259195, 0.19242150403961378]",0.010900846099446582
3.2,"[-0.100203039866615, -0.049215260487173944, 0.2953312615195449]","[-0.16264669506264287, -0.08312753224259195, 0.19242150403961378]",0.12505866797000512,0.294766107225825,"(0.499314891, 0.271170902, 0.822891841)","[0.8672541053159822, 1.0718066936497177, 0]",0.32565966,"[0.25142074, 0.37902862, 0.6041942]",0.286270045896211,"(-0.070788437, 0.602392389, 0.795054971)","[-0.09160549441496353, -0.12237828263884203, 0.1987685800438491]",0.03938961658891166
3.3,"[-0.100203039866615, -0.049215260487173944, 0.2953312615195449]","[-0.09160549441496353, -0.12237828263884203, 0.1987685800438491]",0.121454094422277,0.286270045896211,"(-0.070788437, 0.602392389, 0.795054971)","[1.4112732331626148, 0.42568580456141697, 0]",0.3922934,"[0.45028093, 0.30691808, 0.7047466]",0.39788575249760905,"(0.471001222, 0.157780825, 0.867907288)","[-0.17971210997874268, -0.07585002507564151, 0.14882102279020687]",0.0055923588857010875
3.4,"[-0.100203039866615, -0.049215260487173944, 0.2953312615195449]","[-0.17971210997874268, -0.07585002507564151, 0.14882102279020687]",0.168808628237143,0.39788575249760905,"(0.471001222, 0.157780825, 0.867907288)","[1.1564551623714427, 0.44785148606174496, 0]",0.36393768,"[0.6344208, 0.10190327, 0.52862376]",0.29720991998340784,"(0.535355645, 0.222223216, 0.814868809)","[-0.16770897225331222, -0.07723660574006744, 0.19257997987596315]",0.06672775596950353
4.0,"[-0.054210776530173074, -0.12753907895668967, 0.15991420556625588]","[-0.1658441134207409, -0.0790739602199879, 0.1934748274605131]",0.12624256406384857,0.29755657707974825,"(0.884276533, -0.38390474, -0.265842366)","[0.3103195410045918, 0.04276056667386107, 0]",0.3345866,"[0.22507638, -0.6012074, -0.8048445]",0.4355755001544776,"(0.054443934, -0.516035826, -0.854835004)","[-0.06427196301140303, -0.03217615676796653, 0.3178868884531577]",0.10098890962598944
4.1,"[-0.054210776530173074, -0.12753907895668967, 0.15991420556625588]","[-0.06427196301140303, -0.03217615676796653, 0.3178868884531577]",0.1847990339267719,0.4355755001544776,"(0.054443934, -0.516035826, -0.854835004)","[0.9307840900885759, 0.9955358053375656, 0]",0.27580035,"[0.76055634, -0.16303149, -0.7568773]",0.1470278738407143,"(0.767074622, -0.128524239, -0.62855234)","[-0.10205985127822477, -0.11952191122892206, 0.19912244820580788]",0.12877247348747173
4.2,"[-0.054210776530173074, -0.12753907895668967, 0.15991420556625588]","[-0.10205985127822477, -0.11952191122892206, 0.19912244820580788]",0.062378643969725575,0.1470278738407143,"(0.767074622, -0.128524239, -0.62855234)","[1.177922712170973, 0.5366887449882562, 0]",0.314583,"[0.92345816, -0.2961642, -0.23542158]",0.27244621135425406,"(0.909515257, -0.337980627, -0.241973332)","[-0.159340861180788, -0.08847218953170927, 0.18788369441826266]",0.04213679216671151
4.3,"[-0.054210776530173074, -0.12753907895668967, 0.15991420556625588]","[-0.159340861180788, -0.08847218953170927, 0.18788369441826266]",0.11558913813430584,0.27244621135425406,"(0.909515257, -0.337980627, -0.241973332)","[0.8367108434060816, 1.1367329418239067, 0]",0.15772203,"[0.7360368, 0.073484086, -0.35174263]",0.10867283982651062,"(0.599642624, -0.054881846, -0.798383809)","[-0.08185788807498928, -0.12500869761237704, 0.1967244744372294]",0.04904918628318482
4.4,"[-0.054210776530173074, -0.12753907895668967, 0.15991420556625588]","[-0.08185788807498928, -0.12500869761237704, 0.1967244744372294]",0.0461059811832751,0.10867283982651062,"(0.599642624, -0.054881846, -0.798383809)","[0.3075270142014009, 0.9211847792026071, 0]",0.32125154,"[0.02861759, -0.1399622, -0.9270751]",0.2164862932688553,"(-0.156517208, -0.110736535, -0.9814478)","[-0.039835084869616184, -0.11736822104513034, 0.25005759062481386]",0.1047652481072586
