index,current_distance,current_norm_distance,current_unit_vector,action_to_next,pred_norm_distance,pred_unit_vector,next_norm_distance,next_unit_vector
0.0,0.07739080163121391,0.18241186878298093,"(-0.73, -0.487, -0.478)","[0.6640266484528091, 1.2837250449575255, 0.10534812599866707]",0.1500635,"[0.34640214, 0.41595006, -0.24536349]",0.28811761114947265,"(0.002, 0.532, 0.847)"
0.1,0.12223794997383657,0.28811761114947265,"(0.002, 0.532, 0.847)","[1.3269169748509324, 0.7266458584951743, 1.521970039453031]",0.90853786,"[0.5724943, 0.50642574, 0.50456786]",0.4728158526616635,"(0.347, 0.05, 0.937)"
0.2,0.20059877740173707,0.4728158526616635,"(0.347, 0.05, 0.937)","[0.4740497462670638, 0.9070633201113601, 0.928564372389919]",0.56070936,"[0.71644497, 0.6069844, 0.4282237]",0.21760775867277882,"(0.357, 0.4, 0.844)"
0.3,0.0923231530777966,0.21760775867277882,"(0.357, 0.4, 0.844)","[1.0821929330391595, 0.6032439973659702, 1.1090980222252786]",0.7238041,"[0.57773936, 0.57408786, 0.5624734]",0.39453640530635004,"(0.54, 0.093, 0.837)"
0.4,0.16738762057025056,0.39453640530635004,"(0.54, 0.093, 0.837)","[0.0711976733542467, 0.906143073689472, 0.6792051692294347]",0.45294973,"[0.6996034, 0.63989604, 0.36771354]",0.15132892662907071,"(-0.302, 0.688, 0.66)"
0.5,0.06420342612545844,0.15132892662907071,"(-0.302, 0.688, 0.66)","[1.062695467127258, 1.532161076735306, 0.9768375270184207]",0.7249441,"[0.5009475, 0.529691, 0.27426615]",0.42723800812337465,"(0.05, 0.232, 0.971)"
0.6,0.18126173563480288,0.42723800812337465,"(0.05, 0.232, 0.971)","[0.8009339144581096, 0.7690451120612105, 1.331033403105347]",0.73310393,"[0.60034287, 0.5065713, 0.3816506]",0.3153102799165089,"(0.481, 0.136, 0.866)"
0.7,0.13377482226407514,0.3153102799165089,"(0.481, 0.136, 0.866)","[0.8843379157267232, 1.0821070641979706, 0.9072815837740288]",0.5818133,"[0.57689, 0.61427057, 0.61820877]",0.3468892326205652,"(0.326, 0.296, 0.898)"
0.8,0.14717263722395962,0.3468892326205652,"(0.326, 0.296, 0.898)","[0.576661267463499, 0.7623749099522216, 0.8207278331303718]",0.5943124,"[0.6381037, 0.5590056, 0.40872523]",0.21722225872435252,"(0.533, 0.35, 0.771)"
0.9,0.09215959930118901,0.21722225872435252,"(0.533, 0.35, 0.771)","[1.4461653816810762, 1.2383938177841074, 0.4638785767081418]",0.6171384,"[0.5075612, 0.67931134, 0.7294619]",0.4560580351069131,"(0.186, 0.304, 0.934)"
