index,goal_position,current_pos,current_angles,current_distance,next_pos,change_to_next,next_angles,next_distance,next_utility,utility_of_changes
0.0,"[-0.08444539211656807, -0.04235004249469188, 0.3065526325915414]","[-0.003918061445231426, -0.03684913374622355, 0.32704629046446887]","[0.018769851543304572, 0.09238668813419215, -2.3581137043038325e-13]",,"[-0.01387957307201111, -0.037002482452387006, 0.3265410256993893]",+3.0° on alpha,"[0.06501156239075012, 0.09515491708436397, -1.0391687510491465e-13]",0.07353684161608434,0.10631504,"{'+3.0° on alpha': 0.10631504, '-3.0° on alpha': 0.10631504, '+3.0° on beta': 0.10631504, '-3.0° on beta': 0.10631504, '+3.0° on alpha, +3.0° on beta': 0.10631504, '-3.0° on alpha, -3.0° on beta': 0.10631504, '+3.0° on alpha, -3.0° on beta': 0.082459584, '-3.0° on alpha, +3.0° on beta': 0.10631504}"
0.1,"[-0.08444539211656807, -0.04235004249469188, 0.3065526325915414]","[-0.01387957307201111, -0.037002482452387006, 0.3265410256993893]","[0.06501156239075012, 0.09515491708436397, -1.0391687510491465e-13]",0.07353684161608434,"[-0.0033097550741046167, -0.036878569256631404, 0.32701799558433625]",-3.0° on alpha,"[0.019133280718290013, 0.09470310470556864, -1.7186252421197423e-13]",0.08385558836540373,0.10631504,"{'+3.0° on alpha': 0.06494658, '-3.0° on alpha': 0.10631504, '+3.0° on beta': 0.10631504, '-3.0° on beta': 0.098527454, '+3.0° on alpha, +3.0° on beta': 0.093310475, '-3.0° on alpha, -3.0° on beta': 0.10631504, '+3.0° on alpha, -3.0° on beta': 0.01898989, '-3.0° on alpha, +3.0° on beta': 0.10631504}"
0.2,"[-0.08444539211656807, -0.04235004249469188, 0.3065526325915414]","[-0.0033097550741046167, -0.036878569256631404, 0.32701799558433625]","[0.019133280718290013, 0.09470310470556864, -1.7186252421197423e-13]",0.08385558836540373,"[-0.0139978614426326, -0.036977778098942295, 0.326536639959607]",+3.0° on alpha,"[0.06537295652297637, 0.09524651291595676, -1.3011813848606835e-13]",0.07342394945302123,0.10631504,"{'+3.0° on alpha': 0.10631504, '-3.0° on alpha': 0.10631504, '+3.0° on beta': 0.10631504, '-3.0° on beta': 0.10631504, '+3.0° on alpha, +3.0° on beta': 0.10631504, '-3.0° on alpha, -3.0° on beta': 0.10631504, '+3.0° on alpha, -3.0° on beta': 0.08658522, '-3.0° on alpha, +3.0° on beta': 0.10631504}"
0.3,"[-0.08444539211656807, -0.04235004249469188, 0.3065526325915414]","[-0.0139978614426326, -0.036977778098942295, 0.326536639959607]","[0.06537295652297637, 0.09524651291595676, -1.3011813848606835e-13]",0.07342394945302123,"[-0.003374613138275258, -0.036982968867724994, 0.326986537470089]",-3.0° on alpha,"[0.019492651064271893, 0.0954788220775944, -1.474376176702208e-13]",0.08377840504599034,0.10631504,"{'+3.0° on alpha': 0.06639901, '-3.0° on alpha': 0.10631504, '+3.0° on beta': 0.10631504, '-3.0° on beta': 0.097749576, '+3.0° on alpha, +3.0° on beta': 0.093415216, '-3.0° on alpha, -3.0° on beta': 0.10631504, '+3.0° on alpha, -3.0° on beta': 0.020442493, '-3.0° on alpha, +3.0° on beta': 0.10631504}"
0.4,"[-0.08444539211656807, -0.04235004249469188, 0.3065526325915414]","[-0.003374613138275258, -0.036982968867724994, 0.326986537470089]","[0.019492651064271893, 0.0954788220775944, -1.474376176702208e-13]",0.08377840504599034,"[-0.014069426064512088, -0.03702999730529112, 0.3265139251255747]",+3.0° on alpha,"[0.06573031440555877, 0.095804886240491, -1.3278267374516872e-13]",0.07334529758755264,0.10631504,"{'+3.0° on alpha': 0.10631504, '-3.0° on alpha': 0.10631504, '+3.0° on beta': 0.10631504, '-3.0° on beta': 0.10631504, '+3.0° on alpha, +3.0° on beta': 0.10631504, '-3.0° on alpha, -3.0° on beta': 0.10631504, '+3.0° on alpha, -3.0° on beta': 0.08822706, '-3.0° on alpha, +3.0° on beta': 0.10631504}"
0.5,"[-0.08444539211656807, -0.04235004249469188, 0.3065526325915414]","[-0.014069426064512088, -0.03702999730529112, 0.3265139251255747]","[0.06573031440555877, 0.095804886240491, -1.3278267374516872e-13]",0.07334529758755264,"[-0.00344838177809502, -0.037068315406050094, 0.32696059952085277]",-3.0° on alpha,"[0.019848007758096475, 0.09609925709554012, -1.3589129821411916e-13]",0.08369526533202143,0.10631504,"{'+3.0° on alpha': 0.06793091, '-3.0° on alpha': 0.10631504, '+3.0° on beta': 0.10631504, '-3.0° on beta': 0.09774753, '+3.0° on alpha, +3.0° on beta': 0.09394331, '-3.0° on alpha, -3.0° on beta': 0.10631504, '+3.0° on alpha, -3.0° on beta': 0.021974258, '-3.0° on alpha, +3.0° on beta': 0.10631504}"
0.6,"[-0.08444539211656807, -0.04235004249469188, 0.3065526325915414]","[-0.00344838177809502, -0.037068315406050094, 0.32696059952085277]","[0.019848007758096475, 0.09609925709554012, -1.3589129821411916e-13]",0.08369526533202143,"[-0.0141429435888449, -0.03711104417556588, 0.3264851390813783]",+3.0° on alpha,"[0.06608368110952378, 0.09640082827052643, -1.2878587085651816e-13]",0.07326108235173952,0.10631504,"{'+3.0° on alpha': 0.10631504, '-3.0° on alpha': 0.10631504, '+3.0° on beta': 0.10631504, '-3.0° on beta': 0.10631504, '+3.0° on alpha, +3.0° on beta': 0.10631504, '-3.0° on alpha, -3.0° on beta': 0.10631504, '+3.0° on alpha, -3.0° on beta': 0.08963515, '-3.0° on alpha, +3.0° on beta': 0.10631504}"
0.7,"[-0.08444539211656807, -0.04235004249469188, 0.3065526325915414]","[-0.0141429435888449, -0.03711104417556588, 0.3264851390813783]","[0.06608368110952378, 0.09640082827052643, -1.2878587085651816e-13]",0.07326108235173952,"[-0.003523295261480154, -0.03713576960457994, 0.3269380925727843]",-3.0° on alpha,"[0.020199395608046622, 0.09669756524711559, -1.2745360322696797e-13]",0.0836130455123101,0.10631504,"{'+3.0° on alpha': 0.06950508, '-3.0° on alpha': 0.10631504, '+3.0° on beta': 0.10631504, '-3.0° on beta': 0.09912344, '+3.0° on alpha, +3.0° on beta': 0.096075624, '-3.0° on alpha, -3.0° on beta': 0.10631504, '+3.0° on alpha, -3.0° on beta': 0.023548484, '-3.0° on alpha, +3.0° on beta': 0.10631504}"
0.8,"[-0.08444539211656807, -0.04235004249469188, 0.3065526325915414]","[-0.003523295261480154, -0.03713576960457994, 0.3269380925727843]","[0.020199395608046622, 0.09669756524711559, -1.2745360322696797e-13]",0.0836130455123101,"[-0.014213859304376155, -0.03718399743566822, 0.32645807305450747]",+3.0° on alpha,"[0.06643310119573487, 0.09699321339793876, -1.2256862191861728e-13]",0.07318048088613888,0.10631504,"{'+3.0° on alpha': 0.10631504, '-3.0° on alpha': 0.10631504, '+3.0° on beta': 0.10631504, '-3.0° on beta': 0.10631504, '+3.0° on alpha, +3.0° on beta': 0.10631504, '-3.0° on alpha, -3.0° on beta': 0.10631504, '+3.0° on alpha, -3.0° on beta': 0.0910175, '-3.0° on alpha, +3.0° on beta': 0.10631504}"
0.9,"[-0.08444539211656807, -0.04235004249469188, 0.3065526325915414]","[-0.014213859304376155, -0.03718399743566822, 0.32645807305450747]","[0.06643310119573487, 0.09699321339793876, -1.2256862191861728e-13]",0.07318048088613888,"[-0.0036021701797385427, -0.03721819225718654, 0.32691294924263414]",-3.0° on alpha,"[0.020546858955502234, 0.0972866306930058, -1.199040866595169e-13]",0.08352547464169492,0.10631504,"{'+3.0° on alpha': 0.0710491, '-3.0° on alpha': 0.10631504, '+3.0° on beta': 0.10631504, '-3.0° on beta': 0.10049897, '+3.0° on alpha, +3.0° on beta': 0.09850096, '-3.0° on alpha, -3.0° on beta': 0.10631504, '+3.0° on alpha, -3.0° on beta': 0.025092393, '-3.0° on alpha, +3.0° on beta': 0.10631504}"
