index,act_pos,next_pos,changes
0.0,"(-0.0010470892725087926, -0.025004089200246514, 0.3299968396732982)","(-0.04892707226686052, -0.01894944272661455, 0.3081942009201119)","[0.45985654877374144, -0.05648217422930698, -0.9921812277923548]"
0.1,"(-0.04892707226686052, -0.01894944272661455, 0.3081942009201119)","(0.1357149267955515, -0.10270861948092366, 0.12844200058301009)","[-1.251050449731559, 0.855089807238213, -0.7113941869671988]"
0.2,"(0.1357149267955515, -0.10270861948092366, 0.12844200058301009)","(0.14552988986623464, 0.10295781466963029, 0.17111545413301)","[-1.2870263239789403, -1.0896968437832915, 0.26625854873220284]"
0.3,"(0.14552988986623464, 0.10295781466963029, 0.17111545413301)","(-0.1416041760925609, -0.06015294746681497, 0.08620645747862751)","[1.4153375664255905, 0.4821031815247475, 1.4876225356128057]"
0.4,"(-0.1416041760925609, -0.06015294746681497, 0.08620645747862751)","(-0.036190048794468924, -0.11691116000255061, 0.2343915673544886)","[0.06016852828137915, 1.0721530782113686, 0.5291198670792835]"
0.5,"(-0.036190048794468924, -0.11691116000255061, 0.2343915673544886)","(0.09790992242515421, -0.10568391126967822, 0.20380907850972052)","[-1.1733526345384617, 0.9591745342659609, 0.837325496545412]"
0.6,"(0.09790992242515421, -0.10568391126967822, 0.20380907850972052)","(-0.021763798021379337, -0.09230373691388087, 0.2825087941040284)","[-0.061593911634245976, 0.653636690296066, 0.5707205255888516]"
0.7,"(-0.021763798021379337, -0.09230373691388087, 0.2825087941040284)","(0.11377702354900987, 0.06506201895373825, 0.2534034999490616)","[-0.521328864850932, -0.8246519740791923, -0.9321891143548092]"
0.8,"(0.11377702354900987, 0.06506201895373825, 0.2534034999490616)","(0.005400143495619861, -0.11320222909943416, 0.2218659371149428)","[0.27167980372827605, 1.1980426852362762, -0.7854053173674471]"
0.9,"(0.005400143495619861, -0.11320222909943416, 0.2218659371149428)","(0.10167111015683729, -0.10387729605538172, 0.0868670073138994)","[-1.5184927402917547, 1.07494649289411, -0.9955013466052655]"
0.1,"(0.10167111015683729, -0.10387729605538172, 0.0868670073138994)","(-0.13367620632663502, 0.08472033298011743, 0.23674445292580176)","[0.7503038242890258, -0.882137777252612, 0.20323295754359488]"
0.11,"(-0.13367620632663502, 0.08472033298011743, 0.23674445292580176)","(0.04140371183547817, -0.09592622139552316, 0.24439953113622276)","[-0.03950880432706038, 0.9005458902485093, -1.0849569562624994]"
0.12,"(0.04140371183547817, -0.09592622139552316, 0.24439953113622276)","(-0.1935074656171162, 0.025970719365726196, 0.14127369480259014)","[1.2507991932365221, -0.4308790612685301, 0.7176547502062552]"
0.13,"(-0.1935074656171162, 0.025970719365726196, 0.14127369480259014)","(0.10118506607722536, 0.08793923269036723, 0.2647320965201711)","[-0.604766915921299, -0.9327614633021115, -0.049966513335282514]"
0.14,"(0.10118506607722536, 0.08793923269036723, 0.2647320965201711)","(-0.1381533210751247, -0.10517664059102379, 0.16015266116595978)","[1.4053413687948655, 0.7846761088453887, -0.5206536958045824]"
0.15,"(-0.1381533210751247, -0.10517664059102379, 0.16015266116595978)","(-0.11318420021326758, -0.081870359678312, 0.08722124505450721)","[1.4243490533858938, 0.8722738173373111, 1.4456489964201094]"
0.16,"(-0.11318420021326758, -0.081870359678312, 0.08722124505450721)","(0.0003669731080136584, -0.12437994586324673, 0.19956826371851852)","[0.21744800471294248, 1.3802876038462994, -0.41663135355666814]"
0.17,"(0.0003669731080136584, -0.12437994586324673, 0.19956826371851852)","(0.14387171302004484, -0.09849668743205525, 0.1602368945477954)","[-1.4797615985179629, 0.7332919041716965, 0.6471942018396847]"
0.18,"(0.14387171302004484, -0.09849668743205525, 0.1602368945477954)","(0.1426665546147793, 0.10112747184974276, 0.19098168551951417)","[-1.126180173262621, -1.0674543938854448, 0.05766353161574395]"
0.19,"(0.1426665546147793, 0.10112747184974276, 0.19098168551951417)","(-0.09834503735176015, 0.12492703357673648, 0.16717117913421767)","[1.0547817927253025, -1.5283926257770477, 0.0780029812657569]"
0.2,"(-0.09834503735176015, 0.12492703357673648, 0.16717117913421767)","(0.04051100380681094, -0.11715740516986523, 0.22235791661476384)","[-0.1554154700450686, 1.0718743724577968, -0.6500342018277662]"
0.21,"(0.04051100380681094, -0.11715740516986523, 0.22235791661476384)","(-0.11047499184156034, 0.03388554711593126, 0.25942933774674426)","[0.3886413053225024, -0.6498755550390296, 1.3011127986737097]"
0.22,"(-0.11047499184156034, 0.03388554711593126, 0.25942933774674426)","(-0.0923668070420889, -0.10892770313979999, 0.18625559544371348)","[0.6213556586899827, 1.0327170154840828, 0.7931121396260229]"
