index,goal_position,current_pos,current_angles,current_distance,next_pos,change_to_next,next_angles,next_distance,next_utility,utility_of_changes
0.0,"[0.0, -0.025, 0.33]","[-0.1159562303385574, -0.10191163497965235, 0.1493603179126921]","[1.0164297338741504, 1.0189275805291018, 0.9828559807107178]",,"[-0.11241862690955454, -0.1018988530742356, 0.1559783620186374]",-5.0° on alpha,"[0.9455211269089663, 1.0366214736302126, 1.0026776348881565]",0.22098622528582842,0.25362015,"{'+5.0° on alpha': 0.20346373, '-5.0° on alpha': 0.25362015, '+5.0° on beta': 0.23091376, '-5.0° on beta': 0.22369432, '+5.0° on gamma': 0.23410147, '-5.0° on gamma': 0.23510581}"
0.1,"[0.0, -0.025, 0.33]","[-0.11241862690955454, -0.1018988530742356, 0.1559783620186374]","[0.9455211269089663, 1.0366214736302126, 1.0026776348881565]",0.22098622528582842,"[-0.10916894832948378, -0.10205331467335521, 0.16312373727771046]",-5.0° on alpha,"[0.8745744119909675, 1.0469745027094026, 1.0082023010089705]",0.21378203769651744,0.26234412,"{'+5.0° on alpha': 0.23076761, '-5.0° on alpha': 0.26234412, '+5.0° on beta': 0.23994172, '-5.0° on beta': 0.250427, '+5.0° on gamma': 0.24689609, '-5.0° on gamma': 0.25091076}"
0.2,"[0.0, -0.025, 0.33]","[-0.10916894832948378, -0.10205331467335521, 0.16312373727771046]","[0.8745744119909675, 1.0469745027094026, 1.0082023010089705]",0.21378203769651744,"[-0.10524074324027219, -0.10199250583493746, 0.16953690833436366]",-5.0° on alpha,"[0.8029385896373533, 1.0601044192124238, 1.0226561401111818]",0.20676523832453605,0.2718659,"{'+5.0° on alpha': 0.24535644, '-5.0° on alpha': 0.2718659, '+5.0° on beta': 0.2499994, '-5.0° on beta': 0.2660737, '+5.0° on gamma': 0.25670975, '-5.0° on gamma': 0.2605548}"
0.3,"[0.0, -0.025, 0.33]","[-0.10524074324027219, -0.10199250583493746, 0.16953690833436366]","[0.8029385896373533, 1.0601044192124238, 1.0226561401111818]",0.20676523832453605,"[-0.10101239130533672, -0.10206731081725086, 0.17594145647619677]",-5.0° on alpha,"[0.7310281010659496, 1.0717494715685278, 1.030993128063093]",0.19969203395854526,0.2856242,"{'+5.0° on alpha': 0.25477237, '-5.0° on alpha': 0.2856242, '+5.0° on beta': 0.25964093, '-5.0° on beta': 0.2757054, '+5.0° on gamma': 0.26600188, '-5.0° on gamma': 0.269884}"
0.4,"[0.0, -0.025, 0.33]","[-0.10101239130533672, -0.10206731081725086, 0.17594145647619677]","[0.7310281010659496, 1.0717494715685278, 1.030993128063093]",0.19969203395854526,"[-0.09637429714191384, -0.10199732157699214, 0.18190315705987684]",-5.0° on alpha,"[0.6584827695115325, 1.0837337450456896, 1.0429691508998413]",0.19274145264695955,0.3009173,"{'+5.0° on alpha': 0.26447082, '-5.0° on alpha': 0.3009173, '+5.0° on beta': 0.26946765, '-5.0° on beta': 0.29088616, '+5.0° on gamma': 0.27726132, '-5.0° on gamma': 0.28274375}"
0.5,"[0.0, -0.025, 0.33]","[-0.09637429714191384, -0.10199732157699214, 0.18190315705987684]","[0.6584827695115325, 1.0837337450456896, 1.0429691508998413]",0.19274145264695955,"[-0.09139630644403723, -0.10198724308627623, 0.1875991813488088]",-5.0° on alpha,"[0.5859232831194503, 1.0952931788973883, 1.0523004876052156]",0.18589866482082976,0.31861165,"{'+5.0° on alpha': 0.27463412, '-5.0° on alpha': 0.31861165, '+5.0° on beta': 0.28377235, '-5.0° on beta': 0.30587387, '+5.0° on gamma': 0.29296786, '-5.0° on gamma': 0.29796043}"
0.6,"[0.0, -0.025, 0.33]","[-0.09139630644403723, -0.10198724308627623, 0.1875991813488088]","[0.5859232831194503, 1.0952931788973883, 1.0523004876052156]",0.18589866482082976,"[-0.08609563395269211, -0.10190549772752368, 0.1928821603549473]",-5.0° on alpha,"[0.5127824467074782, 1.1067888406620296, 1.0630603150428195]",0.17924345375873701,0.33864132,"{'+5.0° on alpha': 0.29039, '-5.0° on alpha': 0.33864132, '+5.0° on beta': 0.30022025, '-5.0° on beta': 0.32270408, '+5.0° on gamma': 0.308578, '-5.0° on gamma': 0.31619948}"
0.7,"[0.0, -0.025, 0.33]","[-0.08609563395269211, -0.10190549772752368, 0.1928821603549473]","[0.5127824467074782, 1.1067888406620296, 1.0630603150428195]",0.17924345375873701,"[-0.08045360472282986, -0.1018362223690831, 0.19784557594307892]",-5.0° on alpha,"[0.43907974570956654, 1.118076171119168, 1.0726628699799816]",0.17274657559171777,0.35821253,"{'+5.0° on alpha': 0.30599505, '-5.0° on alpha': 0.35821253, '+5.0° on beta': 0.3196707, '-5.0° on beta': 0.34358358, '+5.0° on gamma': 0.32847407, '-5.0° on gamma': 0.33602092}"
0.8,"[0.0, -0.025, 0.33]","[-0.08045360472282986, -0.1018362223690831, 0.19784557594307892]","[0.43907974570956654, 1.118076171119168, 1.0726628699799816]",0.17274657559171777,"[-0.07458549335678329, -0.10172175719285625, 0.20234465868589505]",-5.0° on alpha,"[0.365740092517747, 1.1291891020273477, 1.0827023543133176]",0.1665686345386039,0.37739003,"{'+5.0° on alpha': 0.32646188, '-5.0° on alpha': 0.37739003, '+5.0° on beta': 0.33877108, '-5.0° on beta': 0.36410633, '+5.0° on gamma': 0.34858584, '-5.0° on gamma': 0.35552996}"
0.9,"[0.0, -0.025, 0.33]","[-0.07458549335678329, -0.10172175719285625, 0.20234465868589505]","[0.365740092517747, 1.1291891020273477, 1.0827023543133176]",0.1665686345386039,"[-0.06845759816608382, -0.10160908043346896, 0.20642937713895887]",-5.0° on alpha,"[0.2918738892475856, 1.1401766996793459, 1.0922615374048084]",0.16070187548935572,0.39576352,"{'+5.0° on alpha': 0.34621918, '-5.0° on alpha': 0.39576352, '+5.0° on beta': 0.3571955, '-5.0° on beta': 0.3839761, '+5.0° on gamma': 0.36812013, '-5.0° on gamma': 0.37424675}"
0.1,"[0.0, -0.025, 0.33]","[-0.06845759816608382, -0.10160908043346896, 0.20642937713895887]","[0.2918738892475856, 1.1401766996793459, 1.0922615374048084]",0.16070187548935572,"[-0.06209599649477242, -0.1014661419024266, 0.2100882405198041]",-5.0° on alpha,"[0.21748699955287698, 1.151021869702186, 1.1019152684526672]",0.15518316177909633,0.4135693,"{'+5.0° on alpha': 0.36559144, '-5.0° on alpha': 0.4135693, '+5.0° on beta': 0.37495068, '-5.0° on beta': 0.40341642, '+5.0° on gamma': 0.38713917, '-5.0° on gamma': 0.39241073}"
0.11,"[0.0, -0.025, 0.33]","[-0.06209599649477242, -0.1014661419024266, 0.2100882405198041]","[0.21748699955287698, 1.151021869702186, 1.1019152684526672]",0.15518316177909633,"[-0.05551911284297959, -0.10130943958120302, 0.21331000275749795]",-5.0° on alpha,"[0.14258522163662546, 1.1617338139834237, 1.1113076215719104]",0.1500735083768082,0.4305623,"{'+5.0° on alpha': 0.38439694, '-5.0° on alpha': 0.4305623, '+5.0° on beta': 0.39221358, '-5.0° on beta': 0.4222725, '+5.0° on gamma': 0.40565428, '-5.0° on gamma': 0.40999484}"
